Building graph from scratch...
conv1_1 [ 3  3  3 64]
conv1_2 [ 3  3 64 64]
conv2_1 [  3   3  64 128]
conv2_2 [  3   3 128 128]
conv3_1 [  3   3 128 256]
conv3_2 [  3   3 256 256]
conv3_3 [  3   3 256 256]
conv4_1 [  3   3 256 512]
conv4_2 [  3   3 512 512]
conv4_3 [  3   3 512 512]
conv5_1 [  3   3 512 512]
conv5_2 [  3   3 512 512]
conv5_3 [  3   3 512 512]
train score:1.99140548706, test score:1.9517159462
train score:2.12152338028, test score:2.01720094681
train score:1.99027371407, test score:2.05179166794
train score:2.12764787674, test score:2.02202939987
train score:2.03841114044, test score:1.99583816528
train score:1.9870865345, test score:2.06889343262
train score:2.02970504761, test score:2.06879925728
train score:1.99996113777, test score:2.07558226585
train score:1.96279287338, test score:2.04825925827
train score:1.95895588398, test score:1.96789169312
train score:2.05404520035, test score:1.97666406631
train score:2.10128378868, test score:2.03294706345
train score:1.9604691267, test score:2.04408216476
train score:2.03281188011, test score:2.06901693344
train score:2.06014728546, test score:2.03569984436
train score:2.06923270226, test score:2.04011392593
train score:2.03083562851, test score:2.00556540489
train score:2.09100031853, test score:2.03901672363
train score:2.04042959213, test score:2.00835895538
train score:2.04030418396, test score:1.96980071068
train score:2.04015016556, test score:1.98280239105
train score:1.99356806278, test score:2.04832434654
train score:1.98011493683, test score:2.04341459274
train score:2.05768871307, test score:1.97615993023
train score:2.01726770401, test score:2.01158499718
train score:1.9890897274, test score:2.03981256485
train score:2.02269077301, test score:2.05776715279
train score:2.05721569061, test score:1.98324477673
train score:2.0261156559, test score:1.95462477207
train score:2.09487891197, test score:2.00872397423
train score:2.07970237732, test score:2.05616927147
train score:2.03049015999, test score:2.05467844009
train score:2.05783033371, test score:1.99907672405
train score:2.05163550377, test score:1.96181917191
train score:2.01039123535, test score:2.03092169762
train score:2.05038332939, test score:2.01529622078
train score:2.05815410614, test score:2.05933380127
train score:1.99865198135, test score:2.0041642189
train score:1.99950957298, test score:2.02366805077
train score:2.03867864609, test score:1.9581413269
train score:2.01437282562, test score:2.0533914566
train score:2.00779342651, test score:2.00294184685
train score:2.05521297455, test score:1.97939348221
train score:1.9776160717, test score:2.01190900803
train score:2.02628564835, test score:1.96136474609
train score:2.00878572464, test score:2.0324883461
train score:1.98802244663, test score:2.02069664001
train score:2.01806497574, test score:2.00722098351
train score:1.97738909721, test score:1.93011140823
train score:2.03708815575, test score:1.9971036911
train score:2.01425909996, test score:2.01713895798
train score:2.05850863457, test score:2.02406978607
train score:2.04282665253, test score:2.00369215012
train score:1.9641597271, test score:1.99275636673
train score:1.99319458008, test score:1.98958384991
train score:1.94761395454, test score:2.05270314217
train score:1.98679685593, test score:2.02959752083
train score:2.03689336777, test score:1.96769189835
train score:2.01339745522, test score:2.02153301239
train score:1.96887397766, test score:2.05343961716
train score:1.96554970741, test score:1.9996843338
train score:1.99664449692, test score:1.99076724052
train score:2.02959513664, test score:1.99130058289
train score:1.95354175568, test score:2.02247643471
train score:1.97307395935, test score:2.04291296005
train score:1.9465739727, test score:2.05479478836
train score:2.00761723518, test score:1.96554017067
train score:2.01206588745, test score:2.06715965271
train score:1.92799949646, test score:1.92609918118
train score:1.98382616043, test score:1.94359636307
train score:2.01179265976, test score:1.98147177696
train score:1.97118830681, test score:2.05295801163
train score:1.95459854603, test score:2.02088785172
train score:1.97442889214, test score:2.02280497551
train score:2.04777646065, test score:1.92403566837
train score:1.97282028198, test score:2.02520442009
train score:2.02431678772, test score:1.96644258499
train score:2.02982997894, test score:2.05170106888
train score:1.96736454964, test score:2.01389527321
train score:1.97043204308, test score:1.96562671661
train score:1.99751603603, test score:2.05855441093
train score:2.00711011887, test score:1.99052166939
train score:1.94838500023, test score:1.98502242565
train score:1.87378525734, test score:1.96767425537
train score:2.04266214371, test score:1.97333812714
train score:1.96565389633, test score:2.04748821259
train score:1.98659217358, test score:2.05703020096
train score:1.93877279758, test score:1.96801185608
train score:1.95904755592, test score:1.97434043884
train score:2.00444197655, test score:2.00731825829
train score:1.94473028183, test score:1.94332766533
train score:2.01647758484, test score:2.05755233765
train score:1.91883099079, test score:1.97288823128
train score:1.8813855648, test score:2.01721262932
train score:1.95267558098, test score:1.9731272459
train score:2.00072383881, test score:1.86025762558
train score:1.92503261566, test score:1.91971325874
train score:1.9516774416, test score:1.99961495399
train score:1.96611881256, test score:2.01134824753
train score:2.0135216713, test score:2.04786324501
train score:2.06604576111, test score:1.92850470543
train score:1.99258327484, test score:1.9750392437
train score:1.97944056988, test score:2.00680613518
train score:1.99652016163, test score:1.99950456619
train score:2.02520608902, test score:1.95346939564
train score:1.92169463634, test score:2.02228212357
train score:2.08756113052, test score:2.07194805145
train score:1.96786737442, test score:2.06497550011
train score:1.98193967342, test score:2.02886223793
train score:1.98989534378, test score:1.92464840412
train score:2.00624775887, test score:1.9429371357
train score:2.00582242012, test score:1.97358262539
train score:1.88511514664, test score:2.00381755829
train score:1.96375536919, test score:1.97379863262
train score:2.01969099045, test score:1.95501339436
train score:1.95419383049, test score:1.98568129539
train score:1.95952785015, test score:1.95542895794
train score:1.93301141262, test score:2.00939750671
train score:1.92415010929, test score:1.9345164299
train score:2.00976538658, test score:1.97196137905
train score:1.98670697212, test score:1.95569038391
train score:2.03788542747, test score:2.00083827972
train score:1.99631738663, test score:2.01843094826
train score:1.9428088665, test score:1.95831859112
train score:2.09982156754, test score:1.97701525688
train score:1.92354440689, test score:2.03144431114
train score:2.01488256454, test score:1.9312210083
train score:1.96360516548, test score:1.91405057907
train score:1.99403846264, test score:1.89026737213
train score:1.89112567902, test score:1.94572281837
train score:2.00920367241, test score:2.0611307621
train score:1.96275758743, test score:2.0349779129
train score:1.99587607384, test score:1.91999912262
train score:1.9731938839, test score:1.92108225822
train score:1.96355700493, test score:2.00372385979
train score:2.00047945976, test score:1.99136352539
train score:1.99849557877, test score:2.05360364914
train score:1.94372868538, test score:1.98703861237
train score:1.97464942932, test score:1.99512445927
train score:1.92977368832, test score:1.91518032551
train score:1.93878734112, test score:2.00654053688
train score:1.94555306435, test score:1.99094891548
train score:1.99787688255, test score:1.95678007603
train score:1.99587929249, test score:2.03693079948
train score:1.96430420876, test score:1.95689702034
train score:1.94811034203, test score:1.9970356226
train score:1.92412304878, test score:2.00455093384
train score:1.92081141472, test score:1.96933591366
train score:1.98367190361, test score:1.89117336273
train score:1.95954930782, test score:1.94435036182
train score:1.98383235931, test score:1.94012522697
train score:2.02421712875, test score:1.97818934917
train score:1.8993806839, test score:1.9710586071
train score:1.93761622906, test score:1.96562790871
train score:1.97961580753, test score:1.92876791954
train score:1.98844635487, test score:2.03495717049
train score:1.96484303474, test score:1.9972871542
train score:1.99484789371, test score:1.95848929882
train score:1.96450531483, test score:2.00853562355
train score:2.06018424034, test score:2.02690267563
train score:2.00791931152, test score:1.96861064434
train score:2.01373386383, test score:1.94282114506
train score:1.95382726192, test score:1.95130300522
train score:1.95733082294, test score:1.95167899132
train score:1.97367870808, test score:1.97889780998
train score:1.90590524673, test score:1.97901701927
train score:1.99211776257, test score:1.90198755264
train score:1.96955478191, test score:2.04595708847
train score:2.0239481926, test score:1.88202750683
train score:1.96108484268, test score:1.92366456985
train score:2.00082969666, test score:1.94626867771
train score:1.91470062733, test score:2.02761244774
train score:1.97177696228, test score:1.98816776276
train score:1.93031287193, test score:1.98474502563
train score:1.97681748867, test score:1.91420865059
train score:2.02727293968, test score:1.97539114952
train score:1.95990753174, test score:1.95057916641
train score:1.95880198479, test score:2.01279640198
train score:1.98504531384, test score:1.99584245682
train score:1.92837572098, test score:1.94152092934
train score:1.96421682835, test score:2.03242683411
train score:1.96507036686, test score:2.00906062126
train score:1.99477934837, test score:1.98668885231
train score:1.99523091316, test score:1.97270309925
train score:1.95629119873, test score:1.9272698164
train score:1.98672962189, test score:2.00752544403
train score:1.95095968246, test score:2.02461862564
train score:1.94021964073, test score:1.94690299034
train score:1.95899379253, test score:1.96373772621
train score:1.95085048676, test score:1.97698509693
train score:1.92575609684, test score:1.93899226189
train score:2.00485825539, test score:2.00870847702
train score:1.95607590675, test score:1.94839096069
train score:1.88322889805, test score:2.01912975311
train score:1.9043046236, test score:1.94527494907
train score:1.92940354347, test score:1.87955844402
train score:1.98012208939, test score:1.88273525238
train score:1.96801781654, test score:1.94551086426
train score:1.8864428997, test score:1.90307939053
train score:1.93004536629, test score:2.00984191895
train score:1.8894354105, test score:1.86932599545
train score:1.93238592148, test score:1.96294927597
train score:1.99977242947, test score:1.98132371902
train score:2.01335406303, test score:1.95940923691
train score:1.98222231865, test score:1.9204376936
train score:1.89432477951, test score:2.01496434212
train score:1.96208715439, test score:2.0138771534
train score:1.85087037086, test score:2.0092561245
train score:1.89104902744, test score:2.00120043755
train score:1.98143672943, test score:1.89045155048
train score:1.94482827187, test score:1.91381323338
