counts,log_counts,n_boxes,pixels_above
1.0,0.69314718056,1,7.0
2.0,1.09861228867,3,836.0
5.0,1.79175946923,6,5084.0
1.0,0.69314718056,4,1581.0
1.0,0.69314718056,6,4152.0
6.0,1.94591014906,6,5306.0
2.0,1.09861228867,6,4442.0
2.0,1.09861228867,2,416.0
1.0,0.69314718056,6,2743.0
1.0,0.69314718056,6,2644.0
1.0,0.69314718056,3,1725.0
1.0,0.69314718056,3,525.0
0.0,0.0,1,131.0
3.0,1.38629436112,5,3148.0
1.0,0.69314718056,1,53.0
2.0,1.09861228867,3,746.0
5.0,1.79175946923,6,5100.0
2.0,1.09861228867,4,1685.0
1.0,0.69314718056,1,188.0
2.0,1.09861228867,6,4502.0
1.0,0.69314718056,4,1256.0
0.0,0.0,0,0.0
1.0,0.69314718056,7,2196.0
2.0,1.09861228867,6,4680.0
1.0,0.69314718056,2,370.0
3.0,1.38629436112,3,385.0
0.0,0.0,2,834.0
3.0,1.38629436112,5,1734.0
5.0,1.79175946923,6,5186.0
1.0,0.69314718056,3,2206.0
1.0,0.69314718056,6,2300.0
1.0,0.69314718056,3,1653.0
1.0,0.69314718056,2,524.0
1.0,0.69314718056,5,1357.0
1.0,0.69314718056,3,1160.0
2.0,1.09861228867,6,4806.0
0.0,0.0,1,78.0
1.0,0.69314718056,1,561.0
1.0,0.69314718056,2,142.0
0.0,0.0,1,231.0
2.0,1.09861228867,5,3207.0
3.0,1.38629436112,6,4413.0
1.0,0.69314718056,4,1002.0
0.0,0.0,3,425.0
0.0,0.0,1,128.0
2.0,1.09861228867,4,1029.0
2.0,1.09861228867,6,3599.0
2.0,1.09861228867,2,651.0
2.0,1.09861228867,5,2050.0
1.0,0.69314718056,4,786.0
3.0,1.38629436112,5,2642.0
0.0,0.0,1,26.0
9.0,2.30258509299,6,4612.0
2.0,1.09861228867,5,2520.0
1.0,0.69314718056,6,2320.0
0.0,0.0,1,70.0
3.0,1.38629436112,3,3190.0
2.0,1.09861228867,3,2456.0
