counts,log_counts,n_boxes,pixels_above
1.0,0.69314718056,0,0.0
2.0,1.09861228867,2,1459.0
5.0,1.79175946923,6,6878.0
1.0,0.69314718056,6,2382.0
1.0,0.69314718056,6,5811.0
6.0,1.94591014906,6,7385.0
2.0,1.09861228867,6,6595.0
2.0,1.09861228867,2,1056.0
1.0,0.69314718056,4,2366.0
1.0,0.69314718056,4,2225.0
1.0,0.69314718056,3,1690.0
1.0,0.69314718056,1,1207.0
0.0,0.0,1,319.0
3.0,1.38629436112,5,5004.0
1.0,0.69314718056,1,145.0
2.0,1.09861228867,3,1489.0
5.0,1.79175946923,6,7310.0
2.0,1.09861228867,4,2473.0
1.0,0.69314718056,1,99.0
2.0,1.09861228867,6,6526.0
1.0,0.69314718056,5,3361.0
0.0,0.0,1,133.0
1.0,0.69314718056,6,2648.0
2.0,1.09861228867,6,6595.0
1.0,0.69314718056,1,683.0
3.0,1.38629436112,5,1301.0
0.0,0.0,2,979.0
3.0,1.38629436112,4,2851.0
5.0,1.79175946923,6,7216.0
1.0,0.69314718056,3,3306.0
1.0,0.69314718056,5,2646.0
1.0,0.69314718056,4,2173.0
1.0,0.69314718056,2,616.0
1.0,0.69314718056,5,1648.0
1.0,0.69314718056,3,1520.0
2.0,1.09861228867,6,7024.0
0.0,0.0,1,170.0
1.0,0.69314718056,1,627.0
1.0,0.69314718056,2,539.0
0.0,0.0,1,87.0
2.0,1.09861228867,5,3950.0
3.0,1.38629436112,6,5521.0
1.0,0.69314718056,4,1207.0
0.0,0.0,3,902.0
0.0,0.0,1,347.0
2.0,1.09861228867,3,2421.0
2.0,1.09861228867,6,4977.0
2.0,1.09861228867,3,1183.0
2.0,1.09861228867,5,759.0
1.0,0.69314718056,4,1128.0
3.0,1.38629436112,5,4282.0
0.0,0.0,2,129.0
9.0,2.30258509299,6,7765.0
2.0,1.09861228867,5,2327.0
1.0,0.69314718056,6,2494.0
0.0,0.0,1,700.0
3.0,1.38629436112,3,4843.0
2.0,1.09861228867,3,2760.0
1.0,0.69314718056,4,2881.0
0.0,0.0,1,660.0
2.0,1.09861228867,4,3402.0
3.0,1.38629436112,6,5634.0
0.0,0.0,6,3498.0
7.0,2.07944154168,6,3250.0
1.0,0.69314718056,3,2031.0
1.0,0.69314718056,4,1398.0
1.0,0.69314718056,4,2343.0
2.0,1.09861228867,6,6761.0
1.0,0.69314718056,4,3724.0
2.0,1.09861228867,1,1331.0
0.0,0.0,4,1300.0
1.0,0.69314718056,4,2099.0
0.0,0.0,6,2249.0
2.0,1.09861228867,6,5547.0
1.0,0.69314718056,2,1077.0
1.0,0.69314718056,3,1454.0
1.0,0.69314718056,3,2886.0
1.0,0.69314718056,5,1927.0
1.0,0.69314718056,5,4024.0
0.0,0.0,1,56.0
2.0,1.09861228867,5,3460.0
9.0,2.30258509299,6,8420.0
0.0,0.0,1,56.0
3.0,1.38629436112,6,5509.0
4.0,1.60943791243,6,1581.0
1.0,0.69314718056,5,1725.0
1.0,0.69314718056,5,2522.0
0.0,0.0,2,237.0
4.0,1.60943791243,6,6023.0
2.0,1.09861228867,6,6264.0
1.0,0.69314718056,4,1761.0
1.0,0.69314718056,4,2954.0
5.0,1.79175946923,6,7267.0
2.0,1.09861228867,4,3941.0
1.0,0.69314718056,3,2514.0
1.0,0.69314718056,3,714.0
4.0,1.60943791243,6,6884.0
1.0,0.69314718056,4,2943.0
0.0,0.0,4,961.0
1.0,0.69314718056,5,1831.0
1.0,0.69314718056,5,3435.0
1.0,0.69314718056,6,6045.0
2.0,1.09861228867,3,1737.0
0.0,0.0,4,2376.0
3.0,1.38629436112,5,7245.0
3.0,1.38629436112,4,2625.0
2.0,1.09861228867,5,2564.0
1.0,0.69314718056,4,3150.0
1.0,0.69314718056,5,2357.0
2.0,1.09861228867,3,1391.0
3.0,1.38629436112,3,3306.0
3.0,1.38629436112,4,1701.0
1.0,0.69314718056,6,6199.0
1.0,0.69314718056,6,5094.0
3.0,1.38629436112,5,7725.0
3.0,1.38629436112,4,2950.0
1.0,0.69314718056,5,1211.0
1.0,0.69314718056,2,883.0
0.0,0.0,5,2078.0
8.0,2.19722457734,6,7570.0
3.0,1.38629436112,3,3499.0
1.0,0.69314718056,4,1828.0
1.0,0.69314718056,4,2206.0
1.0,0.69314718056,2,1298.0
3.0,1.38629436112,6,4453.0
1.0,0.69314718056,5,1884.0
1.0,0.69314718056,6,6158.0
1.0,0.69314718056,3,1621.0
2.0,1.09861228867,6,6675.0
2.0,1.09861228867,5,6334.0
1.0,0.69314718056,6,4622.0
1.0,0.69314718056,3,3606.0
1.0,0.69314718056,2,4651.0
3.0,1.38629436112,6,3546.0
1.0,0.69314718056,5,2572.0
2.0,1.09861228867,6,7631.0
1.0,0.69314718056,5,1219.0
2.0,1.09861228867,5,6142.0
1.0,0.69314718056,4,2195.0
2.0,1.09861228867,5,7442.0
7.0,2.07944154168,6,7240.0
0.0,0.0,6,3361.0
2.0,1.09861228867,4,1483.0
0.0,0.0,0,0.0
3.0,1.38629436112,4,3331.0
1.0,0.69314718056,4,1470.0
3.0,1.38629436112,5,6104.0
1.0,0.69314718056,2,469.0
2.0,1.09861228867,5,5271.0
0.0,0.0,1,138.0
4.0,1.60943791243,6,7134.0
1.0,0.69314718056,5,3046.0
0.0,0.0,1,633.0
0.0,0.0,1,55.0
1.0,0.69314718056,1,9.0
2.0,1.09861228867,2,2463.0
2.0,1.09861228867,5,5743.0
1.0,0.69314718056,1,1476.0
2.0,1.09861228867,5,2034.0
3.0,1.38629436112,6,4086.0
2.0,1.09861228867,4,5074.0
2.0,1.09861228867,6,4516.0
0.0,0.0,1,524.0
2.0,1.09861228867,6,6497.0
1.0,0.69314718056,2,811.0
0.0,0.0,2,525.0
1.0,0.69314718056,3,3798.0
3.0,1.38629436112,4,4410.0
4.0,1.60943791243,4,1999.0
5.0,1.79175946923,5,2003.0
1.0,0.69314718056,2,1095.0
1.0,0.69314718056,3,3510.0
9.0,2.30258509299,6,8446.0
0.0,0.0,1,139.0
2.0,1.09861228867,4,3846.0
1.0,0.69314718056,5,4318.0
2.0,1.09861228867,2,656.0
1.0,0.69314718056,4,1022.0
4.0,1.60943791243,6,7676.0
1.0,0.69314718056,4,2198.0
2.0,1.09861228867,3,2275.0
2.0,1.09861228867,2,751.0
2.0,1.09861228867,5,2282.0
4.0,1.60943791243,6,6812.0
0.0,0.0,3,1196.0
0.0,0.0,2,360.0
1.0,0.69314718056,3,476.0
1.0,0.69314718056,5,5984.0
2.0,1.09861228867,3,3757.0
3.0,1.38629436112,4,3672.0
3.0,1.38629436112,6,6550.0
1.0,0.69314718056,3,2667.0
1.0,0.69314718056,6,4466.0
1.0,0.69314718056,4,2549.0
6.0,1.94591014906,6,7435.0
2.0,1.09861228867,5,1817.0
2.0,1.09861228867,5,1657.0
1.0,0.69314718056,3,1119.0
0.0,0.0,3,51.0
4.0,1.60943791243,4,5382.0
4.0,1.60943791243,6,7250.0
5.0,1.79175946923,6,6817.0
3.0,1.38629436112,6,5636.0
1.0,0.69314718056,1,423.0
5.0,1.79175946923,6,7751.0
0.0,0.0,2,85.0
1.0,0.69314718056,2,1475.0
4.0,1.60943791243,6,7815.0
1.0,0.69314718056,5,1580.0
0.0,0.0,1,240.0
1.0,0.69314718056,1,283.0
6.0,1.94591014906,6,7437.0
1.0,0.69314718056,2,267.0
0.0,0.0,3,839.0
1.0,0.69314718056,4,1979.0
1.0,0.69314718056,4,1633.0
1.0,0.69314718056,5,1885.0
1.0,0.69314718056,2,1587.0
5.0,1.79175946923,6,7271.0
0.0,0.0,3,882.0
2.0,1.09861228867,6,4655.0
9.0,2.30258509299,6,8756.0
3.0,1.38629436112,5,4048.0
0.0,0.0,2,277.0
0.0,0.0,1,937.0
0.0,0.0,1,98.0
1.0,0.69314718056,3,2469.0
1.0,0.69314718056,3,2163.0
1.0,0.69314718056,4,402.0
2.0,1.09861228867,5,1772.0
1.0,0.69314718056,3,1336.0
1.0,0.69314718056,5,2327.0
0.0,0.0,1,212.0
0.0,0.0,1,297.0
0.0,0.0,1,86.0
0.0,0.0,1,100.0
5.0,1.79175946923,6,6895.0
3.0,1.38629436112,4,5713.0
0.0,0.0,1,315.0
1.0,0.69314718056,1,1659.0
1.0,0.69314718056,2,382.0
2.0,1.09861228867,6,4990.0
2.0,1.09861228867,1,1494.0
